,Name,Year,Level,Genre,Score,Director,Votes,Gross_in_Million
75,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,Adventure Drama Fantasy,8.1,David Yates,666914,381.011219
76,Mandy,2018,Not Rated,Action Horror Thriller,6.7,Panos Cosmatos,26270,1.214525
77,The Possession of Hannah Grace,2018,R,Horror Mystery Thriller,5.7,Diederik Van Rooijen,794,0.0
78,After,2019,Not Rated,Drama Romance Thriller,0.0,Jenny Gage,0,0.0
79,The Spy Who Dumped Me,2018,R,Action Adventure Comedy,6.0,Susanna Fogel,30726,33.562069
80,Hunter Killer,2018,R,Action Thriller,7.0,Donovan Marsh,7388,15.76746
81,Game Night,2018,R,Action Comedy Crime,7.0,John Francis Daley,130472,69.001013
82,Jurassic World: Fallen Kingdom,2018,PG-13,Action Adventure Sci-Fi,6.2,J.A. Bayona,176804,416.769345
83,Bumblebee,2018,PG-13,Action Adventure Sci-Fi,0.0,Travis Knight,0,0.0
84,Kin,2018,PG-13,Action Sci-Fi,5.6,Jonathan Baker,4769,5.718096
85,Hellboy,2019,Not Rated,Action Adventure Fantasy,0.0,Neil Marshall,0,0.0
86,Jonathan,2018,Not Rated,Drama Sci-Fi,5.8,Bill Oliver,1213,0.0
87,Roma,2018,R,Drama,8.6,Alfonso Cuarón,2357,0.0
88,The Irishman,2019,Not Rated,Biography Crime Drama,0.0,Martin Scorsese,0,0.0
89,The Godfather,1972,R,Crime Drama,9.2,Francis Ford Coppola,1385180,134.966411
90,Home Alone,1990,PG,Comedy Family,7.5,Chris Columbus,384674,285.761243
91,National Lampoon's Christmas Vacation,1989,PG-13,Comedy,7.6,Jeremiah S. Chechik,126051,71.32
92,Jumanji: Welcome to the Jungle,2017,PG-13,Action Adventure Comedy,7.0,Jake Kasdan,217186,404.51548
93,Mowgli: Legend of the Jungle,2018,PG-13,Adventure Drama,8.1,Andy Serkis,103,0.0
94,Pacific Rim: Uprising,2018,PG-13,Action Adventure Sci-Fi,5.6,Steven S. DeKnight,76704,59.185715
95,Hereditary,2018,R,Drama Horror Mystery,7.3,Ari Aster,106498,44.069456
96,Ready Player One,2018,PG-13,Action Adventure Sci-Fi,7.6,Steven Spielberg,244070,137.018455
97,A Private War,2018,R,Biography Drama War,7.0,Matthew Heineman,1103,1.468107
98,Justice League,2017,PG-13,Action Adventure Fantasy,6.5,Zack Snyder,295628,229.024295
99,Mary Queen of Scots,2018,R,Biography Drama History,6.8,Josie Rourke,190,0.0
100,The Front Runner,2018,R,Biography Drama,6.6,Jason Reitman,1049,1.357318
101,It: Chapter Two,2019,Not Rated,Horror Thriller,0.0,Andy Muschietti,0,0.0
102,Wonder,2017,PG,Drama Family,8.0,Stephen Chbosky,97087,132.422809
103,Skyscraper,2018,PG-13,Action Adventure Thriller,5.9,Rawson Marshall Thurber,59613,67.796355
104,Sicario: Day of the Soldado,2018,R,Action Crime Drama,7.1,Stefano Sollima,68880,50.072235
105,Sorry to Bother You,2018,R,Comedy Fantasy Sci-Fi,7.0,Boots Riley,21620,17.493096
106,Red Sparrow,2018,R,Action Drama Thriller,6.6,Francis Lawrence,114123,46.874505
107,The Wizard of Oz,1939,PG,Adventure Family Fantasy,8.0,Victor Fleming,342060,22.202612
108,Thor: Ragnarok,2017,PG-13,Action Adventure Comedy,7.9,Taika Waititi,406451,315.058289
109,A Quiet Place,2018,PG-13,Drama Horror Mystery,7.6,John Krasinski,233803,188.024361
110,Rocketman,2019,Not Rated,Biography Drama Fantasy,0.0,Dexter Fletcher,0,0.0
111,The Princess Bride,1987,PG,Adventure Family Fantasy,8.1,Rob Reiner,347234,30.857814
112,A Simple Favor,2018,R,Comedy Crime Drama,7.1,Paul Feig,26332,53.542417
113,The Shawshank Redemption,1994,R,Drama,9.3,Frank Darabont,2021253,28.341469
114,John Wick: Chapter 3,2019,Not Rated,Action Crime Thriller,0.0,Chad Stahelski,0,0.0
115,Bad Times at the El Royale,2018,R,Crime Drama Mystery,7.4,Drew Goddard,23441,17.820724
116,Blindspotting,2018,R,Comedy Crime Drama,7.4,Carlos López Estrada,6983,4.333394
117,Welcome to Marwen,2018,PG-13,Biography Comedy Drama,0.0,Robert Zemeckis,0,0.0
118,Blade Runner 2049,2017,R,Drama Mystery Sci-Fi,8.0,Denis Villeneuve,346075,92.054159
119,The Shape of Water,2017,R,Adventure Drama Fantasy,7.4,Guillermo del Toro,266664,63.859435
120,Suicide Squad,2016,PG-13,Action Adventure Fantasy,6.1,David Ayer,503773,325.100054
121,Interstellar,2014,PG-13,Adventure Drama Sci-Fi,8.6,Christopher Nolan,1231667,188.020017
122,It,2017,R,Horror Thriller,7.4,Andy Muschietti,321512,327.481748
123,"Three Billboards Outside Ebbing, Missouri",2017,R,Comedy Crime Drama,8.2,Martin McDonagh,297019,54.51374
124,Hotel Transylvania 3: Summer Vacation,2018,PG,Animation Adventure Comedy,6.3,Genndy Tartakovsky,29481,167.510016
125,Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,Adventure Family Fantasy,7.7,David Yates,405758,295.983305
126,Glass,2019,PG-13,Drama Mystery Sci-Fi,0.0,M. Night Shyamalan,0,0.0
127,Love,2015,Not Rated,Drama Romance,6.0,Gaspar Noé,32714,0.0
128,Spider-Man: Homecoming,2017,PG-13,Action Adventure Sci-Fi,7.5,Jon Watts,372062,334.20114
129,Alita: Battle Angel,2019,Not Rated,Action Adventure Romance,0.0,Robert Rodriguez,0,0.0
130,Holmes & Watson,2018,PG-13,Adventure Comedy Crime,0.0,Etan Cohen,0,0.0
131,Harry Potter and the Goblet of Fire,2005,PG-13,Adventure Family Fantasy,7.7,Mike Newell,467733,290.013036
132,Elf,2003,PG,Comedy Family Fantasy,6.9,Jon Favreau,177181,173.398518
133,Dark Phoenix,2019,Not Rated,Action Adventure Sci-Fi,0.0,Simon Kinberg,0,0.0
134,The Incredibles,2004,PG,Animation Action Adventure,8.0,Brad Bird,575059,261.441092
135,Get Out,2017,R,Horror Mystery Thriller,7.7,Jordan Peele,346385,176.040665
136,Titanic,1997,PG-13,Drama Romance,7.8,James Cameron,921014,659.325379
137,Coco,2017,PG,Animation Adventure Comedy,8.4,Lee Unkrich,237745,209.726015
138,Rambo 5: Last Blood,2019,Not Rated,Action Adventure Thriller,0.0,Adrian Grunberg,0,0.0
139,Annihilation,2018,R,Adventure Drama Horror,6.9,Alex Garland,184748,32.732301
140,Untitled Terminator Reboot,2019,Not Rated,Action Adventure Sci-Fi,0.0,Tim Miller,0,0.0
141,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,Adventure Drama Fantasy,8.8,Peter Jackson,1455172,315.54475
142,"Love, Simon",2018,PG-13,Comedy Drama Romance,7.7,Greg Berlanti,67372,40.826341
143,The Dark Knight,2008,PG-13,Action Crime Drama,9.0,Christopher Nolan,1989014,534.858444
144,Braveheart,1995,R,Biography Drama History,8.4,Mel Gibson,867812,75.6
145,Star Wars: Episode VIII - The Last Jedi,2017,PG-13,Action Adventure Fantasy,7.2,Rian Johnson,428599,620.181382
146,Apostle,2018,TV-MA,Drama Fantasy Horror,6.3,Gareth Evans,18700,0.0
147,"Planes, Trains & Automobiles",1987,R,Comedy,7.6,John Hughes,106509,49.53028
148,Can You Ever Forgive Me?,2018,R,Biography Comedy Crime,7.6,Marielle Heller,2272,6.24177
149,Fighting with My Family,2019,PG-13,Biography Comedy Drama,0.0,Stephen Merchant,0,0.0
